festival;artiest;naam;jaar;ervaring;x;y;aantalStemmen;;;;
Pukkelpop;Elbow;Jacomijn;2001;We liepen weg bij de hoofdact omdat we die niet leuk vonden en toen belandde we in een hele kleine tent met 40-50 mensen. De sfeer was heel erg intiem. Toen we weggingen bleek de tent helemaal volgelopen. En toch bleef die sfeer zo intiem.;1403.11;525.7;3;;;;
Pukkelpop;Major Lazer;Rachelle;2015;Hoe major lazor het publiek meekrijgt, ongekend. Nog nooit zo veel blote borsten bij elkaar gezien toen ze vroegen come on ladies, take of your shirts!';1403.12;525.8;2;;;;
Pukkelpop;Mumford and son;Julia ;2017;Confettiekannonen gingen af, het hele publiek stond te springen, geweldig.;1403.13;525.9;4;;;;
Best kept secret;Arcade Fire;Jaap;2017;geen ervaring gedeeld;1133;668.5;3;;;;
Best kept secret;Editors;Sanne;2016;Al 10 jaar fan;1133;668.6;3;;;;
Best kept secret;Wilco;Jaap;2016;geen ervaring gedeeld;1133;668.7;1;;;;
Concert at Sea;Direct;Marjolein;2014;Mijn allereerste festival, had alleen dagkaarten voor zaterdag. De allereerste band ooit die ik op een festival zag.;909.56;80.68;1;;;;
Concert at Sea;Kane;Florine;2013;Veel indruk op me gemaakt;1166.55;322.97;1;;;;
Down the Rabbit Hole;de Staat;Willemijn;2014;Ze deden een fanfare versie van Input Source select als opening van het festival. Ze liepen over het terrein met een fanfare band achter zich aan, briljant.;1320.47;392.26;3;;;;
Down the Rabbit Hole;Mura Masa;Mike;2016;Ik weet nog goed dat we langs een tent liepen en we hoorden een warme bas en dikke vette beats. We zijn naar binnen gegaan en hebben daar tot het einde staan dansen. Pas later kwamen we erachter dat het Mura Masa was.;1511.3;159.86;1;;;;
Appelsap;Fresku;Jeremy;2017;Wat een fantastisch optreden, ben daarna naar huis gegaan omdat ik wist dat het niet beter zou worden;1187.81;343.32;1;;;;
Awakenings;Len Faki;Jordy;2017;Mijn eerste festival en Len Faki is mij het meest bijgebleven;749.04;195.06;1;;;;
